Stations_id;Bezugszeitraum;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
      4606;1991-2020;        46;        .6;       1.5;       4.6;       9.6;      14.1;      17.5;      19.5;        19;      14.4;       9.6;       4.9;       1.8;       9.8;
      4612;1991-2020;        46;       -.1;        .4;       3.5;         8;      12.3;      15.6;      17.6;      17.2;      12.9;       8.5;       4.1;        .9;       8.4;
      4621;1991-2020;        46;         1;       1.7;       5.4;        10;      14.1;      17.4;      19.3;      18.9;      14.3;       9.5;       4.9;       1.8;       9.9;
      4625;1991-2020;        51;       1.2;       1.8;       4.4;       8.9;      13.1;      16.2;      18.4;      18.1;      14.3;       9.7;       5.2;       2.2;       9.4;
      4629;1991-2020;        46;       1.9;       1.9;         4;       7.8;      11.7;      14.8;      17.1;        17;      13.9;       9.7;       5.6;       2.8;         9;
      4642;1991-2020;        51;       1.2;       1.8;       4.6;       9.2;      13.7;        17;      19.1;      18.5;      14.3;       9.5;         5;       2.2;       9.6;
      4649;1991-2020;        46;       2.3;       2.9;       5.9;       9.7;      13.4;      16.4;      18.3;      17.8;      14.2;      10.1;         6;       3.1;        10;
      4651;1991-2020;        51;       1.2;       1.8;       4.7;         9;      12.9;      15.9;        18;      17.9;      13.8;       9.5;       5.3;       2.3;       9.3;
      4656;1991-2020;        46;       1.6;       1.9;       4.4;       8.4;      12.5;      15.5;      17.8;      17.5;      13.9;       9.5;       5.3;       2.5;       9.2;
      4664;1991-2020;        46;      -1.7;        -1;       2.4;       7.1;      11.4;      14.6;      16.4;      16.2;      11.7;       7.3;       2.6;       -.7;       7.2;
      4692;1991-2020;        51;       1.5;       1.9;       5.2;       9.3;      13.6;      16.5;      18.5;      17.7;      13.6;       9.4;       5.4;       2.2;       9.5;
      4702;1991-2020;        46;       -.7;       -.1;       3.6;       7.7;      12.1;      15.5;      17.3;      16.9;      12.6;       8.2;       3.3;        .3;       8.1;
      4703;1991-2020;        51;       -.8;       -.2;       3.7;       7.9;      12.3;      15.9;      17.5;        17;      12.7;       8.2;       3.2;         0;       8.1;
      4704;1991-2020;        51;        .3;       1.2;       5.2;       9.2;      13.7;      17.2;      18.9;      18.5;        14;       9.7;       4.4;       1.2;       9.4;
      4705;1991-2020;        46;      -2.2;      -1.6;       1.9;       6.7;      11.2;      14.6;      16.1;      15.9;      11.6;         7;       1.9;      -1.3;       6.8;
      4706;1991-2020;        51;       -.3;        .8;         5;       9.8;      14.1;      17.6;      19.1;      18.7;      14.1;       9.3;       4.2;        .6;       9.4;
      4709;1991-2020;        51;        .6;       1.5;       4.6;       8.6;      12.3;      15.6;      17.5;      17.3;      13.3;         9;       4.5;       1.6;       8.8;
      4719;1991-2020;        46;         2;       2.9;       6.5;      10.8;      14.8;      18.2;      20.1;      19.6;      15.1;      10.4;       5.9;       2.8;      10.8;
      4729;1991-2020;        46;        .5;       1.1;       4.4;       8.7;      12.7;      15.9;      17.8;      17.4;      13.2;       8.8;       4.3;       1.3;       8.8;
      4741;1991-2020;        46;       2.7;       3.1;       6.2;        10;      13.9;      16.7;      18.6;      18.1;      14.4;      10.3;       6.3;       3.4;      10.3;
      4745;1991-2020;        51;       1.4;       1.8;       4.5;       8.9;        13;      15.8;      17.9;      17.4;      13.6;       9.3;       5.1;       2.3;       9.2;
